questionsAnswered,correct answers,timeSpent,halfCorrect,reversed,questionsSkipped,answerChanges,flaggedQuestions,label
41,0,15.33,10,2,15,0,5,très faible
30,16,17.5,9,2,4,1,1,faible
35,22,21.11,0,1,20,6,3,moyen
28,15,19.16,2,5,16,0,0,faible
29,28,15.69,0,1,13,2,3,moyen
10,1,20.81,1,0,2,1,4,très faible
37,4,15.15,2,0,2,5,3,très faible
38,22,16.08,4,1,17,5,3,faible
31,0,20.77,5,1,20,4,0,très faible
38,3,21.14,3,1,3,1,0,très faible
35,27,13.21,8,0,14,4,1,moyen
12,11,24.62,0,0,11,5,3,très faible
25,8,19.25,7,4,11,0,5,très faible
20,5,15.35,5,3,20,3,1,très faible
34,34,20.3,0,0,5,0,1,fort
31,19,23.21,10,2,7,3,2,moyen
17,6,13.18,8,2,19,4,5,très faible
14,1,16.58,7,2,13,6,3,très faible
20,1,16.8,0,2,6,6,5,très faible
27,26,22.08,1,0,16,3,1,faible
30,19,13.99,1,4,14,2,4,moyen
40,25,16.39,10,0,14,2,5,moyen
29,16,21.49,10,1,8,6,5,faible
22,22,22.95,0,0,7,3,3,faible
26,6,19.42,2,2,2,0,5,très faible
27,5,16.74,6,1,10,0,2,très faible
26,18,12.65,3,2,1,2,1,faible
25,19,12.51,6,0,11,2,2,faible
26,26,20.37,0,0,12,1,2,faible
37,1,20.46,3,0,16,0,3,très faible
21,17,14.61,3,1,11,0,5,faible
14,7,22.61,1,3,1,3,3,très faible
17,7,17.2,3,5,3,4,1,très faible
42,34,19.49,8,0,10,4,0,moyen
42,27,24.65,8,4,13,0,0,moyen
13,10,12.81,0,0,15,1,5,très faible
40,7,19.8,4,5,2,4,4,très faible
42,0,16.12,4,5,10,2,3,très faible
16,3,24.78,3,3,18,3,4,très faible
39,31,18.18,3,3,16,3,5,moyen
22,10,22.41,7,1,5,6,2,faible
40,36,17.71,1,0,13,5,3,fort
41,15,18.12,5,4,12,5,1,très faible
22,20,21.82,0,0,3,3,0,faible
22,21,19.92,1,0,1,0,3,faible
43,34,22.49,4,0,7,2,2,moyen
22,7,24.76,9,3,1,2,5,très faible
40,21,21.14,1,2,18,5,5,faible
15,3,18.63,3,0,6,1,5,très faible
32,20,19.45,1,3,1,5,4,moyen
40,39,18.75,1,0,5,4,1,fort
16,5,22.75,7,3,4,1,0,très faible
44,15,16.5,6,2,15,2,5,très faible
21,18,23.13,2,0,1,3,3,faible
11,6,14.82,1,0,4,6,0,très faible
36,18,12.99,2,5,2,1,1,faible
40,9,13.91,0,2,12,1,2,très faible
14,3,21.19,5,4,1,0,5,très faible
31,5,16.15,2,4,4,2,1,très faible
14,9,12.84,2,3,9,2,4,très faible
19,2,15.48,3,0,5,4,2,très faible
29,14,23.26,0,0,1,3,0,faible
16,7,16.58,8,1,9,3,5,très faible
13,7,17.58,4,2,14,0,5,très faible
17,15,18.2,1,0,19,6,0,très faible
13,7,15.21,1,5,6,4,0,très faible
14,6,23.91,1,3,3,2,1,très faible
20,0,16.85,1,4,15,0,5,très faible
10,7,22.3,0,3,17,6,4,très faible
14,9,19.92,2,3,10,0,3,très faible
10,3,14.18,1,2,1,0,5,très faible
11,0,18.42,3,3,1,1,3,très faible
19,11,13.69,7,1,4,4,4,très faible
36,18,12.3,0,5,19,0,3,faible
37,7,21.42,7,5,0,6,5,très faible
38,14,14.97,1,4,19,5,3,très faible
40,6,17.41,8,4,14,5,5,très faible
33,33,14.35,0,0,2,4,4,fort
44,0,17.33,10,0,18,1,5,très faible
40,18,13.83,9,4,2,6,5,faible
14,10,19.32,4,0,19,5,3,très faible
18,7,21.14,3,3,15,1,3,très faible
15,12,15.64,3,0,15,5,2,très faible
42,41,13.09,0,0,5,4,0,très fort
29,11,15.55,6,5,8,6,5,très faible
26,20,18.67,3,0,20,6,2,faible
15,6,13.78,3,1,16,0,1,très faible
12,10,12.14,0,2,10,4,4,très faible
30,23,19.36,7,0,19,2,5,moyen
33,18,12.37,1,0,13,0,1,faible
14,7,22.77,7,0,0,4,0,très faible
30,19,24.9,2,1,18,1,4,moyen
14,12,17.62,1,1,0,2,0,très faible
23,2,22.19,0,2,20,1,2,très faible
28,20,17.33,0,2,20,5,1,faible
15,9,24.51,3,1,8,2,0,très faible
35,22,16.6,7,1,16,6,3,moyen
11,6,16.8,4,0,17,0,0,très faible
42,11,14.31,1,3,19,0,4,très faible
29,28,12.81,1,0,15,1,4,moyen
17,4,19.73,8,0,18,3,2,très faible
14,12,14.68,0,0,9,1,4,très faible
28,20,21.85,4,4,17,0,3,faible
19,13,16.87,3,0,13,4,5,très faible
36,32,24.03,1,0,11,2,4,fort
12,10,13.04,1,0,15,1,1,très faible
15,7,20.2,2,1,0,6,3,très faible
25,7,23.69,3,5,19,3,5,très faible
27,26,23.98,0,0,19,4,1,faible
35,9,19.78,0,0,2,5,0,très faible
33,10,15.73,2,3,2,2,3,très faible
43,21,24.67,6,0,3,5,3,faible
34,14,13.76,3,5,12,4,3,faible
25,6,12.56,8,5,9,2,0,très faible
37,24,19.03,4,1,10,4,3,moyen
25,21,12.91,1,3,13,3,5,faible
18,17,24.44,1,0,18,0,3,très faible
26,10,17.75,1,2,19,5,5,très faible
35,35,21.89,0,0,4,0,5,fort
24,5,15.78,8,5,12,2,4,très faible
22,1,16.84,5,0,11,1,2,très faible
20,20,24.36,0,0,5,6,0,faible
35,6,16.64,6,0,1,0,4,très faible
13,12,23.47,1,0,15,3,3,très faible
42,23,12.11,5,2,12,5,0,faible
18,6,21.35,2,2,9,4,0,très faible
12,0,12.29,6,2,8,3,3,très faible
20,12,14.04,5,2,17,3,5,faible
19,15,13.09,0,1,19,2,4,très faible
27,10,15.05,8,2,19,3,4,très faible
21,1,15.95,4,1,0,4,4,très faible
23,5,12.79,1,0,9,5,2,très faible
43,34,21.65,3,4,15,5,2,moyen
39,9,15.89,0,2,12,5,2,très faible
20,15,14.8,0,2,2,5,0,faible
27,4,15.05,10,2,1,3,0,très faible
33,33,15.57,0,0,15,5,1,fort
38,11,12.79,10,2,8,1,1,très faible
14,12,15.09,1,1,5,6,3,très faible
29,5,14.3,0,5,6,6,3,très faible
29,16,15.2,0,4,1,0,2,faible
19,3,22.03,7,5,10,3,2,très faible
18,3,14.06,4,0,20,5,2,très faible
29,28,19.03,1,0,12,3,1,moyen
42,16,14.26,4,0,19,5,5,très faible
26,19,23.46,5,2,11,4,3,faible
28,21,14.08,5,0,2,3,3,faible
40,22,13.13,0,4,4,4,2,faible
32,18,16.39,3,5,11,1,3,faible
35,2,14.63,4,4,7,5,2,très faible
42,18,17.72,3,3,5,6,3,faible
36,27,20.93,2,0,10,0,4,moyen
20,8,18.69,10,1,5,4,4,faible
30,3,20.72,9,3,17,4,2,très faible
37,33,19.73,4,0,1,1,4,moyen
15,4,21.82,4,3,20,4,0,très faible
44,1,12.3,7,2,2,4,5,très faible
40,34,21.02,6,0,17,3,1,moyen
33,29,21.41,3,0,18,4,5,moyen
31,8,19.63,8,0,17,0,0,très faible
44,23,23.51,8,4,1,4,2,faible
13,2,13.22,10,0,3,1,4,très faible
31,10,15.44,10,1,20,4,1,très faible
27,25,21.92,0,2,3,4,4,faible
23,5,22.89,9,0,5,0,1,très faible
37,30,13.76,1,3,12,5,0,moyen
19,12,20.53,2,0,2,1,2,très faible
33,7,13.61,9,5,3,1,3,très faible
27,15,14.14,1,2,5,6,0,faible
26,18,14.04,7,1,13,4,2,faible
39,12,17.94,2,1,13,1,4,très faible
38,21,23.25,10,0,14,4,1,faible
23,14,16.25,4,1,2,5,3,faible
21,17,17.89,1,0,3,1,2,faible
14,3,16.37,4,3,5,0,5,très faible
32,11,21.21,8,1,20,2,1,très faible
37,13,20.98,10,2,16,2,1,très faible
14,7,15.28,0,2,4,1,5,très faible
30,17,14.5,0,3,7,3,3,faible
38,32,12.05,4,2,16,1,2,moyen
44,6,14.45,4,3,14,4,0,très faible
17,1,19.08,6,2,16,6,2,très faible
16,2,17.22,7,2,18,4,0,très faible
28,19,21.84,8,0,6,3,2,faible
11,9,16.0,0,0,7,2,0,très faible
11,10,23.01,0,1,17,3,1,très faible
35,6,12.09,2,1,16,0,0,très faible
11,9,19.28,2,0,13,5,0,très faible
10,10,16.97,0,0,16,5,5,très faible
28,25,15.44,3,0,11,3,0,faible
44,4,12.52,5,1,12,3,5,très faible
17,1,23.78,10,1,5,6,5,très faible
21,3,22.69,3,0,14,0,3,très faible
39,5,24.67,8,4,5,2,3,très faible
15,1,19.29,4,4,7,6,0,très faible
22,2,19.4,0,3,18,1,1,très faible
14,5,21.58,7,2,7,3,1,très faible
35,34,24.37,1,0,5,3,2,fort
12,9,18.34,2,0,19,4,3,très faible
17,8,21.61,4,0,12,1,4,très faible
28,6,12.34,5,2,8,0,4,très faible
34,8,16.27,3,3,8,5,0,très faible
30,1,24.03,10,4,11,2,0,très faible
40,33,16.45,7,0,6,6,2,moyen
32,26,24.14,0,4,16,1,1,moyen
11,10,17.78,0,0,3,3,4,très faible
31,30,21.87,1,0,6,1,2,moyen
32,1,23.51,6,3,1,1,5,très faible
24,8,21.4,7,1,8,0,2,très faible
36,32,16.88,2,1,7,5,2,fort
41,25,21.3,7,0,5,6,2,moyen
40,30,12.94,4,3,1,4,5,moyen
18,4,17.66,6,1,13,6,3,très faible
30,15,16.33,2,2,13,1,4,faible
28,19,24.56,2,0,18,6,0,faible
31,10,18.54,6,5,9,1,5,très faible
26,2,13.91,7,0,20,0,1,très faible
17,9,19.83,7,1,13,2,1,très faible
19,11,14.48,6,1,19,1,5,très faible
12,9,15.64,3,0,16,0,2,très faible
30,27,19.56,3,0,20,1,2,moyen
10,9,23.16,1,0,19,3,4,très faible
24,9,18.16,1,0,2,5,5,très faible
37,27,19.24,0,0,0,0,1,moyen
24,17,19.23,1,0,1,2,0,faible
36,0,20.76,4,4,13,2,1,très faible
22,0,23.33,2,3,3,3,0,très faible
16,7,15.92,2,4,8,1,1,très faible
14,10,17.71,3,1,20,3,1,très faible
16,3,17.02,5,2,5,1,5,très faible
18,14,13.81,3,0,5,4,1,très faible
35,27,13.1,8,0,20,6,1,moyen
39,38,22.14,1,0,6,4,5,fort
17,5,21.1,2,5,3,6,2,très faible
22,19,16.55,1,1,9,6,2,faible
28,3,18.65,4,5,17,3,1,très faible
12,9,12.5,0,0,8,0,3,très faible
17,0,14.5,3,4,1,4,3,très faible
19,17,24.44,1,1,18,0,0,très faible
18,0,13.68,0,4,4,5,2,très faible
12,11,13.87,1,0,6,6,1,très faible
10,5,21.87,2,3,1,3,1,très faible
26,5,18.33,0,0,14,6,2,très faible
16,16,16.35,0,0,11,0,1,très faible
19,11,13.24,6,2,20,6,3,très faible
17,5,24.06,8,3,19,3,3,très faible
18,6,12.08,6,4,12,4,4,très faible
25,11,24.65,7,5,0,0,2,faible
11,0,19.12,9,2,17,4,1,très faible
18,9,15.52,8,0,2,0,0,très faible
40,10,14.15,5,0,14,1,2,très faible
28,1,15.74,5,2,5,1,3,très faible
29,22,23.73,1,0,14,1,2,moyen
22,20,18.22,2,0,0,0,0,faible
28,27,19.84,1,0,10,5,1,faible
23,3,17.47,1,4,18,0,4,très faible
10,5,19.77,1,2,5,3,2,très faible
24,0,17.41,9,1,13,4,3,très faible
11,2,18.38,2,1,2,0,2,très faible
26,19,14.97,7,0,10,6,1,faible
28,25,16.0,2,0,5,3,1,faible
42,22,20.68,9,4,5,1,3,faible
37,3,18.77,1,3,6,2,5,très faible
27,1,18.97,7,1,10,3,5,très faible
24,7,14.08,8,1,5,4,5,très faible
29,0,19.31,10,3,15,3,3,très faible
43,12,18.49,9,0,3,6,0,très faible
41,31,19.15,9,0,11,2,1,moyen
14,4,12.61,1,1,12,6,2,très faible
15,15,16.36,0,0,1,3,0,très faible
30,11,21.31,3,3,11,6,3,très faible
33,8,15.05,1,5,11,4,4,très faible
32,20,19.1,1,1,4,4,1,moyen
36,3,21.72,4,4,17,0,4,très faible
35,23,24.69,0,2,12,3,2,moyen
17,12,18.54,3,1,20,3,3,très faible
39,33,22.03,1,2,5,0,0,moyen
18,4,23.65,5,4,14,0,1,très faible
42,25,24.78,0,2,5,4,1,faible
22,18,23.72,4,0,7,4,3,faible
39,21,23.53,3,1,4,0,2,faible
20,13,21.85,3,2,18,0,5,faible
32,12,19.24,1,4,0,1,0,très faible
35,19,17.23,1,3,14,0,0,faible
31,30,13.8,0,0,10,3,4,moyen
21,6,18.97,1,3,17,2,4,très faible
29,7,16.61,7,2,13,0,1,très faible
30,23,21.84,1,2,4,6,2,moyen
10,5,23.47,3,0,19,6,4,très faible
22,22,12.18,0,0,10,3,3,faible
18,18,12.02,0,0,4,1,3,très faible
26,21,12.77,4,0,5,5,2,faible
31,9,17.95,1,5,16,6,5,très faible
41,22,12.28,9,1,20,5,2,faible
26,26,20.49,0,0,12,4,0,faible
12,2,15.43,8,2,9,2,0,très faible
34,28,15.33,4,1,18,0,2,moyen
42,33,19.16,2,3,13,3,4,moyen
23,15,18.19,4,3,3,1,4,faible
27,0,17.33,5,2,5,6,0,très faible
27,24,23.96,3,0,2,6,1,faible
10,2,24.98,2,3,5,4,3,très faible
37,2,18.38,10,3,12,0,1,très faible
13,2,19.62,4,0,15,1,1,très faible
23,23,22.21,0,0,12,2,2,faible
16,9,18.91,5,0,17,5,0,très faible
11,6,15.78,0,0,11,4,0,très faible
17,7,15.86,4,5,19,5,2,très faible
22,12,21.4,9,1,6,0,2,faible
11,4,22.54,7,0,20,2,1,très faible
12,3,16.15,2,0,19,3,5,très faible
34,0,12.25,8,3,3,2,1,très faible
35,35,14.97,0,0,19,4,4,fort
17,4,15.82,1,1,2,6,4,très faible
25,10,15.98,3,2,16,3,1,faible
29,29,16.36,0,0,2,3,0,moyen
13,11,24.78,2,0,18,2,5,très faible
30,11,14.01,2,1,15,3,4,très faible
41,2,17.18,6,4,6,5,4,très faible
21,15,19.49,4,0,16,1,4,faible
34,15,16.8,5,1,16,3,1,faible
19,0,22.72,4,4,16,3,0,très faible
12,6,19.83,1,2,11,0,0,très faible
38,25,23.0,1,0,17,4,4,moyen
13,6,23.46,2,3,13,6,5,très faible
34,28,14.07,0,2,7,1,2,moyen
33,4,17.22,6,3,10,5,5,très faible
20,3,16.52,10,1,9,0,0,très faible
29,3,23.76,7,1,13,1,0,très faible
42,4,18.56,6,5,7,3,2,très faible
36,19,15.78,5,0,14,1,4,faible
32,1,14.77,1,1,5,6,0,très faible
15,15,22.45,0,0,11,0,1,très faible
17,17,17.2,0,0,19,6,1,très faible
20,11,20.07,9,0,15,0,1,faible
29,14,23.48,5,0,10,0,5,faible
40,36,15.36,2,2,2,6,5,fort
24,18,15.89,1,0,3,2,0,faible
31,27,20.91,2,1,3,5,1,moyen
36,8,18.7,2,4,1,5,5,très faible
34,26,20.8,6,0,4,1,1,moyen
21,4,15.91,0,4,16,2,5,très faible
13,1,16.45,8,2,14,2,0,très faible
33,0,23.15,7,2,4,5,5,très faible
13,8,19.2,5,0,10,6,3,très faible
20,0,20.47,10,1,4,6,0,très faible
14,5,16.97,7,1,17,4,4,très faible
43,29,15.92,9,0,4,1,5,moyen
25,10,13.51,7,5,13,0,1,faible
31,27,12.13,4,0,3,6,1,moyen
22,20,16.91,0,2,3,2,4,faible
37,16,23.67,6,0,11,6,3,faible
43,18,18.61,1,5,17,4,4,faible
12,12,15.87,0,0,4,3,3,très faible
36,6,13.75,7,2,1,3,0,très faible
37,23,12.55,6,5,18,5,3,moyen
44,14,19.28,10,0,14,1,4,très faible
26,13,20.24,4,0,3,2,4,faible
29,9,17.78,8,2,18,6,0,très faible
34,29,16.41,3,2,5,3,4,moyen
21,15,23.33,3,0,19,2,4,faible
11,11,22.9,0,0,13,4,0,très faible
33,17,17.33,8,4,13,0,1,faible
19,17,16.36,0,1,11,2,4,très faible
29,2,15.27,1,0,10,5,5,très faible
16,4,15.75,10,1,0,5,1,très faible
44,38,22.25,3,1,12,1,4,moyen
23,17,16.91,6,0,12,6,5,faible
15,12,22.17,3,0,14,4,3,très faible
16,1,24.2,0,2,13,2,4,très faible
29,3,13.19,6,2,8,2,0,très faible
42,23,18.31,4,5,13,3,4,faible
30,19,13.77,6,2,7,3,4,moyen
41,15,19.3,0,1,19,2,3,très faible
39,15,23.71,10,1,1,0,2,très faible
27,16,13.51,0,5,7,4,3,faible
22,2,20.5,2,0,16,4,5,très faible
10,9,19.82,0,1,6,0,0,très faible
36,19,24.98,0,1,16,4,0,faible
29,26,22.4,2,1,19,5,4,moyen
13,5,16.51,3,3,5,2,2,très faible
19,8,21.8,8,3,1,1,2,très faible
34,33,16.62,0,0,12,4,1,fort
38,25,23.13,4,2,5,1,5,moyen
23,20,14.52,3,0,13,1,1,faible
34,26,13.47,2,5,12,0,5,moyen
22,7,22.32,9,1,14,1,0,très faible
13,5,14.04,5,1,8,1,0,très faible
15,9,20.6,4,1,9,4,0,très faible
33,27,19.71,2,3,10,6,0,moyen
12,8,17.09,3,0,5,0,4,très faible
31,26,17.16,2,1,8,3,0,moyen
36,4,16.24,7,1,8,6,4,très faible
33,26,15.83,5,2,7,1,3,moyen
31,24,16.49,0,2,4,2,4,moyen
21,17,15.23,4,0,7,4,3,faible
31,1,21.81,8,0,13,0,0,très faible
22,19,24.8,1,1,19,2,0,faible
41,28,18.49,8,5,2,3,3,moyen
33,13,14.09,3,3,14,3,3,très faible
13,5,16.7,5,0,11,6,3,très faible
10,6,17.39,2,1,8,2,4,très faible
44,42,14.86,0,2,14,2,5,fort
37,17,23.16,7,1,1,2,3,faible
13,0,16.41,6,2,16,1,5,très faible
17,6,12.88,3,3,5,5,4,très faible
31,5,20.91,4,4,3,6,2,très faible
23,12,17.45,3,1,11,1,0,faible
43,0,14.53,2,1,12,6,3,très faible
11,1,15.95,0,0,5,3,0,très faible
10,7,13.11,2,0,11,5,3,très faible
40,32,19.9,2,3,1,4,4,moyen
41,33,20.97,7,1,16,5,4,moyen
23,12,19.52,6,2,5,2,3,faible
16,15,12.22,1,0,19,5,5,très faible
14,3,21.83,8,1,17,2,3,très faible
29,18,12.74,1,1,13,4,0,moyen
32,24,24.72,5,1,5,1,0,moyen
24,19,14.33,3,0,0,3,4,faible
33,19,14.18,2,1,5,1,4,faible
43,34,15.24,6,2,2,1,2,moyen
26,21,12.68,1,3,11,1,1,faible
11,0,19.25,3,0,0,1,1,très faible
39,39,17.0,0,0,16,4,1,très fort
19,2,15.21,0,1,1,3,5,très faible
23,8,16.41,0,4,16,1,5,très faible
43,20,21.83,6,3,15,0,1,faible
27,20,13.8,0,3,0,1,1,faible
31,29,16.14,0,0,10,4,4,moyen
10,9,14.47,1,0,6,5,5,très faible
15,11,18.27,4,0,12,4,0,très faible
23,1,19.0,0,2,10,2,2,très faible
39,30,15.58,5,1,0,1,3,moyen
28,7,23.8,7,0,19,6,4,très faible
29,27,12.48,0,0,18,1,0,moyen
21,20,14.62,0,0,17,4,5,faible
16,12,19.23,2,1,8,4,4,très faible
39,1,14.87,9,5,8,1,1,très faible
15,2,15.71,4,2,0,5,4,très faible
36,35,15.93,1,0,1,1,2,fort
23,1,13.33,3,3,12,4,5,très faible
24,23,21.52,0,1,10,4,5,faible
20,1,17.34,6,0,16,4,5,très faible
20,1,19.42,4,4,19,6,0,très faible
33,15,22.76,10,4,14,3,1,faible
15,1,23.51,9,1,12,1,0,très faible
32,10,22.02,3,3,16,5,1,très faible
12,5,22.85,0,0,0,6,0,très faible
22,10,21.72,4,2,14,2,0,faible
34,7,17.62,8,4,8,5,3,très faible
12,11,15.65,1,0,9,6,5,très faible
13,12,17.89,1,0,16,3,2,très faible
13,7,21.32,0,5,0,4,3,très faible
35,3,16.21,8,2,20,4,4,très faible
38,16,16.41,5,1,17,5,3,faible
41,8,22.29,1,0,9,6,3,très faible
43,36,17.23,1,4,16,6,1,moyen
19,14,15.78,4,1,0,3,2,très faible
34,12,22.98,8,1,15,2,0,très faible
25,13,14.98,1,4,18,0,3,faible
31,15,19.1,5,0,17,3,5,faible
37,0,23.09,3,3,8,3,4,très faible
17,5,14.61,1,2,13,3,2,très faible
13,11,16.11,1,0,14,5,3,très faible
21,15,17.2,6,0,3,2,3,faible
21,15,23.32,2,3,14,2,0,faible
27,2,13.35,10,2,12,4,1,très faible
14,2,15.84,3,2,13,5,4,très faible
41,29,22.48,5,0,15,3,0,moyen
15,7,16.64,8,0,16,3,4,très faible
35,4,18.84,8,0,2,2,0,très faible
16,8,19.56,0,1,6,5,4,très faible
19,19,18.75,0,0,9,4,2,très faible
16,2,18.67,2,0,16,0,1,très faible
20,5,20.22,9,5,4,5,2,très faible
10,10,13.31,0,0,11,5,1,très faible
23,23,15.84,0,0,14,1,4,faible
37,19,20.73,3,0,3,4,4,faible
35,31,16.31,0,2,8,2,0,fort
28,26,14.0,0,1,10,3,3,faible
38,33,19.09,2,0,15,3,1,fort
32,18,18.74,2,0,19,2,0,faible
39,10,19.19,9,4,15,6,4,très faible
30,11,21.83,10,4,10,2,2,très faible
17,15,20.02,0,1,3,0,4,très faible
27,2,24.7,1,0,8,3,4,très faible
18,6,13.72,0,1,18,3,0,très faible
25,1,15.57,6,1,2,6,5,très faible
13,10,15.68,2,1,10,2,2,très faible
43,11,19.49,3,4,11,1,3,très faible
26,24,18.92,2,0,14,6,2,faible
10,4,19.18,0,0,14,5,4,très faible
37,13,17.9,8,3,2,4,4,très faible
38,0,13.24,7,4,9,1,4,très faible
24,23,14.09,0,0,19,1,5,faible
21,12,20.24,8,1,17,3,0,faible
30,27,13.67,1,0,9,3,4,moyen
38,0,15.98,10,0,2,4,0,très faible
22,9,16.0,3,2,4,2,1,faible
12,11,17.12,0,0,11,6,4,très faible
44,17,22.49,6,4,6,6,0,très faible
42,6,18.84,2,3,14,3,4,très faible
22,0,16.84,6,4,1,3,5,très faible
25,5,24.0,9,5,1,3,4,très faible
20,10,21.53,0,3,10,4,5,faible
15,3,22.07,10,0,18,5,4,très faible
38,27,24.54,5,3,5,4,1,moyen
13,7,23.28,0,1,2,4,4,très faible
15,10,16.34,3,0,20,4,4,très faible
19,10,13.24,4,2,9,2,3,très faible
10,8,18.44,0,2,4,0,1,très faible
32,28,15.6,3,0,12,4,5,moyen
30,23,16.7,1,5,11,1,1,moyen
16,12,15.96,0,2,11,1,4,très faible
23,15,23.53,3,5,11,6,3,faible
15,11,19.54,3,0,10,5,3,très faible
25,21,22.0,0,1,18,1,4,faible
21,2,18.1,9,2,9,2,4,très faible
22,5,15.1,7,3,15,0,0,très faible
32,10,13.89,6,3,1,6,2,très faible
43,20,23.44,9,0,4,2,5,faible
31,17,17.58,9,2,7,6,1,faible
37,5,12.03,4,2,14,6,2,très faible
34,1,16.21,2,3,18,6,3,très faible
15,1,12.12,2,4,17,4,0,très faible
15,14,18.5,0,0,9,2,1,très faible
30,11,17.75,5,1,1,2,4,très faible
14,10,13.67,4,0,20,1,3,très faible
15,1,21.27,7,5,12,6,5,très faible
32,13,15.92,9,2,5,4,0,faible
28,16,17.84,3,5,18,3,1,faible
38,7,23.74,9,0,3,2,2,très faible
15,0,24.38,10,5,18,3,0,très faible
44,25,21.09,10,5,18,5,0,faible
32,3,21.29,10,5,6,0,2,très faible
24,4,13.98,4,5,2,4,5,très faible
35,3,19.87,8,0,3,0,0,très faible
43,12,12.1,10,4,8,0,1,très faible
23,2,13.57,2,0,19,6,3,très faible
35,6,24.66,10,0,8,6,1,très faible
25,10,12.61,7,5,18,1,5,faible
33,1,18.97,0,1,9,2,0,très faible
34,24,20.1,9,0,17,5,0,moyen
38,33,14.84,5,0,16,3,5,moyen
13,9,16.38,0,0,16,2,0,très faible
32,19,12.2,5,5,5,1,2,faible
34,34,24.24,0,0,18,6,4,fort
16,16,14.03,0,0,8,3,2,très faible
43,18,24.41,1,4,5,6,5,faible
22,7,12.99,10,5,7,6,0,très faible
43,22,19.59,8,4,13,0,1,faible
17,7,17.79,5,1,4,2,2,très faible
18,2,19.63,6,0,18,3,3,très faible
32,17,16.28,9,4,9,1,3,faible
30,23,16.77,6,0,5,5,5,moyen
22,18,21.61,4,0,13,2,1,faible
11,5,21.86,0,2,5,0,3,très faible
35,8,18.43,1,0,18,6,5,très faible
27,9,14.77,10,5,18,1,0,très faible
30,20,13.83,8,0,7,0,4,moyen
38,30,23.53,7,1,13,5,1,moyen
43,13,18.67,9,4,12,5,5,très faible
20,2,19.73,8,0,19,5,3,très faible
26,5,14.04,7,1,3,6,1,très faible
38,2,12.91,5,4,11,5,1,très faible
37,27,22.36,4,5,20,0,4,moyen
43,38,23.08,3,1,6,1,0,moyen
34,23,18.3,6,4,19,2,5,moyen
38,29,17.33,6,1,19,5,4,moyen
33,31,19.24,0,2,20,2,2,fort
40,37,22.7,1,2,0,5,4,fort
32,25,12.19,1,1,16,1,3,moyen
36,15,17.57,5,2,7,1,5,faible
19,8,24.35,4,1,10,5,3,très faible
40,29,18.12,3,0,10,4,0,moyen
17,17,13.29,0,0,10,5,0,très faible
30,1,20.81,7,3,8,6,2,très faible
18,3,23.54,4,1,16,3,5,très faible
41,13,20.47,10,2,9,2,3,très faible
10,7,21.57,3,0,18,6,2,très faible
18,10,19.21,0,0,19,2,3,très faible
38,0,17.96,10,5,9,1,5,très faible
27,6,15.31,1,4,5,4,1,très faible
26,23,24.11,0,1,11,4,1,faible
30,22,22.89,1,3,15,0,3,moyen
22,22,12.78,0,0,19,2,5,faible
35,1,15.62,4,4,3,1,0,très faible
32,28,17.66,3,0,9,1,4,moyen
44,20,20.17,6,3,18,6,0,faible
